window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_1754	0.73	3.58	1.94	1.09	0.06	0.83	4.1	8.71	2.15
window_1760	2.2	2.21	0.81	0.33	0.03	0.38	1.99	1.12	0.66
window_1784	3.3	0.39	0.58	0	0	0	0	0.11	0.03
window_1797	0.32	0	0.12	0.36	0	0.01	0.16	7.54	0.13
window_1799	1.76	8.67	3.8	3.68	0.03	3.69	6.35	4.48	9.56
window_1800	2.11	0.77	1.39	1.56	0.02	3.76	1.16	2.43	1.62
window_1805	0.91	0.51	1.69	0.58	0.03	1.66	0.79	3.29	0.52
window_1807	4.31	2.2	8.94	2.05	0.26	3.65	2.62	16.99	2.89
window_1848	4.37	0	1.07	0	0.01	0.36	0.35	1.57	0.1
window_1852	0.37	0	0.15	0.16	0	0.56	0	0	0.02
window_1854	2.25	0	0.18	0	0	0	0	0.04	0
window_1878	1.85	3.26	4.7	2.79	0.04	3.13	1.58	3.35	3.03
window_1879	1.85	3.26	4.7	2.79	0.04	3.13	1.58	3.35	3.03
window_1880	1.85	3.26	4.7	2.79	0.04	3.13	1.58	3.35	3.03
window_1881	1.85	3.26	4.7	2.79	0.04	3.13	1.58	3.35	3.03
window_1882	1.85	3.26	4.7	2.79	0.04	3.13	1.58	3.35	3.03
window_1898	8.94	12.02	14.97	5.4	0.15	11.6	10.3	12.92	10.43
window_1899	8.94	12.02	14.97	5.4	0.15	11.6	10.3	12.92	10.43
window_1922	1.12	13.86	5.26	9.16	0.06	2.92	4.53	2.61	7.83
window_1962	1.29	0.7	1.94	0.68	0.13	0.83	2.68	1.45	1.57
window_1996	11.31	15.35	5.29	16.12	0.16	12.13	14.66	8.08	10.67
window_1997	10.22	2.94	4.8	1.71	0	0.37	0.1	2.14	0.64
window_2039	0.04	0	0	0	0	0	0	0	0
window_2042	2.79	0	0.21	0	0.05	0.04	0	0.82	0.91
window_2082	95.03	61.01	149.82	43.57	0.41	70.71	18.8	61.35	40.92
window_2099	0.49	0.21	2.68	0.61	0.01	0.51	0.35	0.69	0.15
window_2131	1.6	0.59	2.83	1.17	0.02	0.39	0.59	2.06	0.54
window_2132	1.6	0.59	2.83	1.17	0.02	0.39	0.59	2.06	0.54
window_2133	5.32	4.04	13.08	10.53	0.07	14.22	3.97	8.96	9.94
window_2137	8.02	2.28	8.24	1.65	0.01	2.52	0.77	5.39	0.8
window_2155	5.1	1.41	4.41	0.86	10.49	2.08	1.64	7.01	1.24
window_2157	411.655	1193.34	330.06	75.805	0.475	0.455	25.675	227.28	296.48
window_2224	3.31	4.61	4.97	2.25	0.06	4.82	3.46	6.49	2.15
window_2225	0	0.75	0	1.67	2.69	0	324.87	0	9.07
window_2250	0.11	0.05	0.03	0	0	0.16	0.06	0.69	0.02
window_2256	0.22	0.66	0.05	0	0	0.11	0.13	1.94	3.99
window_2275	1.22	2	4.11	0.97	6.09	0.65	46.48	2.64	1.87
window_2277	21.21	15.77	13.88	15.26	0.25	23.14	7.05	16.6	15.43
window_2300	0.24	0	0.01	0	0	0	0	0	0.19
window_2325	487.88	180.68	270.64	62.4	1.05	32.15	41.04	20.02	1038.09
window_2355	28.01	111.31	19.39	2.17	0.23	0	0.09	1.09	0.02
window_2487	9.99	1.17	13	0.34	0.48	0.6	0.78	11.76	0.37
window_2519	0.23	0.42	4.45	11.28	0.02	5.91	0.19	1.57	0.67
window_2520	3.17	2.02	6.8	1.09	0.65	2.19	2.81	4.92	2.19
window_2521	3.17	2.02	6.8	1.09	0.65	2.19	2.81	4.92	2.19
window_2522	3.17	2.02	6.8	1.09	0.65	2.19	2.81	4.92	2.19
window_2570	0.03	0.11	0.9	0.05	0.07	0.07	0.06	0.53	0.1
window_2579	24.62	3.61	36.28	2.32	1.41	3.11	1.7	23.45	5.08
window_2585	0	0	0.07	0.4	4.24	0.12	12.38	0.03	0.56
window_2690	57.29	51.205	52.66	24.805	0.17	14.5	22.7	32.03	55.09
window_2703	14.91	1.54	12.61	1.36	0.14	6.65	1.42	16.31	4.49
window_2705	9.26	2.62	6.53	2.39	0.18	6.12	6.04	12.47	7.26
